Orch,Comp,Weight,Comp.Gen
Atlanta Symphony Orchestra,"Singleton, Alvin",1,3
Atlanta Symphony Orchestra,"Strauss, Josef",1,1
Atlanta Symphony Orchestra,"Strauss, Richard",4,1
Atlanta Symphony Orchestra,"Takemitsu, Toru",1,3
Atlanta Symphony Orchestra,"Talbot, Joby",1,1
Atlanta Symphony Orchestra,"Tao, Conrad",1,3
Atlanta Symphony Orchestra,"Tchaikovsky, Peter Ilich",4,1
Atlanta Symphony Orchestra,"Vaňhal, Jan Křtitel",1,1
Atlanta Symphony Orchestra,"Verdi, Giuseppe",3,1
Atlanta Symphony Orchestra,"Vivaldi, Antonio",1,1
Atlanta Symphony Orchestra,"Walton, William",1,1
Atlanta Symphony Orchestra,"Wilson, James",1,1
Augusta Symphony,"Bacewicz, Grazyna",1,2
Augusta Symphony,"Beethoven, Ludwig van",1,1
Augusta Symphony,"Brahms, Johannes",1,1
Augusta Symphony,"Bruch, Max",1,1
Augusta Symphony,"Debussy, Claude",1,1
Augusta Symphony,"Dvořák, Antonín",1,1
Augusta Symphony,"Golijov, Osvaldo",1,3
Augusta Symphony,"Leshnoff, Jonathan",1,1
Augusta Symphony,"Liszt, Franz",1,1
Augusta Symphony,"Mahler, Gustav",1,1
Augusta Symphony,"Mazzoli, Missy",1,2
Augusta Symphony,"Mendelssohn, Felix",1,1
Augusta Symphony,"Mozart, Wolfgang Amadeus",1,1
Augusta Symphony,"Poulenc, Francis",1,1
Augusta Symphony,"Price, Florence",1,4
Augusta Symphony,"Rachmaninoff, Sergei",1,1
Augusta Symphony,"Respighi, Ottorino",1,1
Augusta Symphony,"Rodrigo, Joaquín",1,1
Augusta Symphony,"Sibelius, Jean",1,1
Augusta Symphony,"Tchaikovsky, Peter Ilich",1,1
Austin Symphony Orchestra,"Beethoven, Ludwig van",2,1
Austin Symphony Orchestra,"Berwald, Franz Adolf",1,1
Austin Symphony Orchestra,"Chávez, Carlos",1,3
Austin Symphony Orchestra,"Clyne, Anna",1,2
Austin Symphony Orchestra,"Copland, Aaron",1,1
Austin Symphony Orchestra,"Dvořák, Antonín",1,1
Austin Symphony Orchestra,"Elgar, Edward",1,1
Austin Symphony Orchestra,"Galindo, Blas",1,3
Austin Symphony Orchestra,"Gershwin, George",1,1
